Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
20232_31010_15674_CALAIR,CALIDAD DEL AIRE_CALAIR(20232),20232_31010_15674_CALAIR,20232_31010,CALIDAD DEL AIRE_CALAIR(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA AMBIENTAL JORNADA MIXTA/NIVEL 7,20232_31010_7,20232_31010,20232_18
20232_31008_30356_MEC-SOL II-B,MECÁNICA DE SÓLIDOS II_MEC-SOL II-B(20232),20232_31008_30356_MEC-SOL II-B,20232_31008,MECÁNICA DE SÓLIDOS II_MEC-SOL II-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 4,20232_31008_4,20232_31008,20232_18
20232_31008_30359_MECA,MECANISMOS_MECA(20232),20232_31008_30359_MECA,20232_31008,MECANISMOS_MECA(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 5,20232_31008_5,20232_31008,20232_18
20232_31008_30577_AUTO-AVANZ,AUTOMATIZACIÓN AVANZADA_AUTO-AVANZ(20232),20232_31008_30577_AUTO-AVANZ,20232_31008,AUTOMATIZACIÓN AVANZADA_AUTO-AVANZ(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 9,20232_31008_9,20232_31008,20232_18
20232_31008_30127_TRANS-CAL,TRANSFERENCIA DE CALOR_TRANS-CAL(20232),20232_31008_30127_TRANS-CAL,20232_31008,TRANSFERENCIA DE CALOR_TRANS-CAL(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 6,20232_31008_6,20232_31008,20232_18
20232_31008_30362_DIS-ESTRU-MAQ,DISEÑO DE ESTRUCTURAS DE MAQUINAS_DIS-ESTRU-MAQ(20232),20232_31008_30362_DIS-ESTRU-MAQ,20232_31008,DISEÑO DE ESTRUCTURAS DE MAQUINAS_DIS-ESTRU-MAQ(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 6,20232_31008_6,20232_31008,20232_18
20232_32090_32112_METOD Y ENFO-B,MÉTODOS Y ENFOQUES DE LA ENSEÑANZA DE LAS LENGUAS_METOD Y ENFO-B(20232),20232_32090_32112_METOD Y ENFO-B,20232_32090,MÉTODOS Y ENFOQUES DE LA ENSEÑANZA DE LAS LENGUAS_METOD Y ENFO-B(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 3,20232_32090_3,20232_32090,20232_35
20232_32090_32125_DIDACTI Y DIS,DIDÁCTICA DE LAS LENGUAS Y DISEÑO DE MATERIALES CON INCLUSIÓN DE TIC TAC TEP*_DIDACTI Y DIS(20232),20232_32090_32125_DIDACTI Y DIS,20232_32090,DIDÁCTICA DE LAS LENGUAS Y DISEÑO DE MATERIALES CON INCLUSIÓN DE TIC TAC TEP*_DIDACTI Y DIS(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 5,20232_32090_5,20232_32090,20232_35
20232_32090_32111_FONET Y FONO-C,FONÉTICA Y FONOLOGÍA DEL FRANCÉS_FONET Y FONO-C(20232),20232_32090_32111_FONET Y FONO-C,20232_32090,FONÉTICA Y FONOLOGÍA DEL FRANCÉS_FONET Y FONO-C(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 3,20232_32090_3,20232_32090,20232_35
20232_32090_32117_FRAN PREIN-B,FRANCÉS PREINTERMEDIO_FRAN PREIN-B(20232),20232_32090_32117_FRAN PREIN-B,20232_32090,FRANCÉS PREINTERMEDIO_FRAN PREIN-B(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 4,20232_32090_4,20232_32090,20232_35
20232_32090_32112_METOD Y ENFO-A,MÉTODOS Y ENFOQUES DE LA ENSEÑANZA DE LAS LENGUAS_METOD Y ENFO-A(20232),20232_32090_32112_METOD Y ENFO-A,20232_32090,MÉTODOS Y ENFOQUES DE LA ENSEÑANZA DE LAS LENGUAS_METOD Y ENFO-A(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 3,20232_32090_3,20232_32090,20232_35
20232_32090_32097_LITEUN-B,LITERATURA UNIVERSAL_LITEUN-B(20232),20232_32090_32097_LITEUN-B,20232_32090,LITERATURA UNIVERSAL_LITEUN-B(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 2,20232_32090_2,20232_32090,20232_35
20232_32090_32099_FRAN 2-B,FRANCÉS BÁSICO II_FRAN 2-B(20232),20232_32090_32099_FRAN 2-B,20232_32090,FRANCÉS BÁSICO II_FRAN 2-B(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 2,20232_32090_2,20232_32090,20232_35
