,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
483,20232_31005_48004_SISOP,SISTEMAS OPERATIVOS_SISOP(),20232_31005_48004_SISOP,20232_31005,SISTEMAS OPERATIVOS_SISOP(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 5,20232_31005_5,20232_31005,20232_18
484,20232_31005_41156_DESSER,DESPLIEGUE SOBRE SERVIDORES_DESSER(),20232_31005_41156_DESSER,20232_31005,DESPLIEGUE SOBRE SERVIDORES_DESSER(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 8,20232_31005_8,20232_31005,20232_18
485,20232_31009_30495_EXPR I,EXPRESION I_EXPR I(),20232_31009_30495_EXPR I,20232_31009,EXPRESION I_EXPR I(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 1,20232_31009_1,20232_31009,20232_35
486,20232_31009_30602_DISEÑ SON,DISEÑO DE SONIDO_DISEÑ SON(),20232_31009_30602_DISEÑ SON,20232_31009,DISEÑO DE SONIDO_DISEÑ SON(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 4,20232_31009_4,20232_31009,20232_35
487,20232_31009_30603_PROY INTER I,PROYECTO DE INTERACCION I_PROY INTER I(),20232_31009_30603_PROY INTER I,20232_31009,PROYECTO DE INTERACCION I_PROY INTER I(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 4,20232_31009_4,20232_31009,20232_35
488,20232_31009_30615_X LAB I,X LAB I_X LAB I(),20232_31009_30615_X LAB I,20232_31009,X LAB I_X LAB I(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 6,20232_31009_6,20232_31009,20232_35
489,20232_32080_99205_INTRO CFDR,INTRODUCCION  A LA CFDR_INTRO CFDR(),20232_32080_99205_INTRO CFDR,20232_32080,INTRODUCCION  A LA CFDR_INTRO CFDR(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 1,20232_32080_1,20232_32080,20232_36
490,20232_32080_30636_MASAJ TER,MASAJE TERAPEUTICO Y DEPORTIVO_MASAJ TER(),20232_32080_30636_MASAJ TER,20232_32080,MASAJE TERAPEUTICO Y DEPORTIVO_MASAJ TER(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 1,20232_32080_1,20232_32080,20232_36
491,20232_32080_99241_EDUC EXPER,EDUCACIÓN EXPERIENCIAL_EDUC EXPER(),20232_32080_99241_EDUC EXPER,20232_32080,EDUCACIÓN EXPERIENCIAL_EDUC EXPER(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 6,20232_32080_6,20232_32080,20232_36
492,20232_32080_99254_PRAC PORF,PRACTICA PROFESIONAL_PRAC PORF(),20232_32080_99254_PRAC PORF,20232_32080,PRACTICA PROFESIONAL_PRAC PORF(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 9,20232_32080_9,20232_32080,20232_36
493,20232_32080_99218_PEDG JUE,PEDAGOGÍA DEL JUEGO_PEDG JUE(),20232_32080_99218_PEDG JUE,20232_32080,PEDAGOGÍA DEL JUEGO_PEDG JUE(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 3,20232_32080_3,20232_32080,20232_36
494,20232_32080_99212_EVEN Y ESC,EVENTOS Y ESCENARIOS_EVEN Y ESC(),20232_32080_99212_EVEN Y ESC,20232_32080,EVENTOS Y ESCENARIOS_EVEN Y ESC(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 2,20232_32080_2,20232_32080,20232_36
495,20232_32080_99217_INIC Y FORM,INICIACIÓN Y FORMACIÓN DEPORTIVA_INIC Y FORM(),20232_32080_99217_INIC Y FORM,20232_32080,INICIACIÓN Y FORMACIÓN DEPORTIVA_INIC Y FORM(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 3,20232_32080_3,20232_32080,20232_36
